Country,Time,Value
Indonesia,2020,116.4623
Indonesia,2021,118.2792
Indonesia,2022,123.2581
Luxembourg,2015,100.0
Luxembourg,2016,100.2908
Luxembourg,2017,102.0267
Luxembourg,2018,103.5858
Luxembourg,2019,105.3917
Luxembourg,2020,106.2558
Luxembourg,2021,108.9408
Luxembourg,2022,115.8433
Latvia,2015,100.0
Latvia,2016,100.1406
Latvia,2017,103.0751
Latvia,2018,105.6875
Latvia,2019,108.6588
Latvia,2020,108.8969
Latvia,2021,112.4641
Latvia,2022,131.932
Iceland,2015,100.0
Iceland,2016,101.6969
Iceland,2017,103.4872
Iceland,2018,106.2637
Iceland,2019,109.4665
Iceland,2020,112.584
Iceland,2021,117.5875
Iceland,2022,127.3575
Japan,2015,100.0
Japan,2016,99.87274
Japan,2017,100.3563
Japan,2018,101.3489
Japan,2019,101.824
Japan,2020,101.7986
Germany,2015,100.0
Germany,2016,100.4917
Germany,2017,102.0087
Germany,2018,103.7756
Germany,2019,105.2759
Germany,2020,105.4284
Germany,2021,108.6615
Germany,2022,116.1294
Denmark,2015,100.0
Denmark,2016,100.25
Denmark,2017,101.4
Denmark,2018,102.225
Denmark,2019,103.0
Denmark,2020,103.4333
Denmark,2021,105.35
Denmark,2022,113.4583
Poland,2015,100.0
Poland,2016,99.33524
Poland,2017,101.3974
Poland,2018,103.2357
Poland,2019,105.5352
Poland,2020,109.0965
Poland,2021,114.6113
Poland,2022,131.1491
Spain,2015,100.0
Spain,2016,99.7974
Spain,2017,101.7495
Spain,2018,103.4538
Spain,2019,104.1775
Spain,2020,103.8412
Spain,2021,107.0532
Spain,2022,116.0356
Italy,2015,99.96899
Italy,2016,99.875
Italy,2017,101.1
Italy,2018,102.25
Italy,2019,102.875
Italy,2020,102.7333
Italy,2021,104.6583
Italy,2022,113.2417
Estonia,2015,100.0
Estonia,2016,100.1487
Estonia,2017,103.571
Estonia,2018,107.13
Estonia,2019,109.5697
Estonia,2020,109.0826
Estonia,2021,114.1584
Estonia,2022,136.3031
Canada,2015,100.0
Canada,2016,101.4288
Canada,2017,103.0485
Canada,2018,105.3858
Canada,2019,107.4401
Canada,2020,108.2104
Canada,2021,111.8844
Canada,2022,119.4957
Portugal,2015,100.0
Portugal,2016,100.6074
Portugal,2017,101.9843
Portugal,2018,102.9978
Portugal,2019,103.3461
Portugal,2020,103.3332
Portugal,2021,104.6411
Portugal,2022,112.8373
